OccupationTitle,Description,Category,TotalEmployed2011,MedianSalary2011,ProjectedGrowth2020,Education,Experience,Training
Clergy,"Clergy members conduct religious worship and carry out other spiritual functions regarding beliefs and practices of religious faith or denomination. They prepare and deliver sermons, train leaders of the church, and provide comfort to those in need.",Community and Social Service,42560,44140,17.5,Bachelor's degree,None,Moderate-term on-the-job training
"Clinical, Counseling, and School Psychologists","Clinical, counseling, and school psychologists diagnose and treat mental disorders, learning disabilities, and cognitive, behavioral, and emotional problems. They observe, interpret, and record how people relate to one another and their surrounding environment.","Life, Physical, and Social Science",100850,67880,21.9,Doctoral or professional degree,None,Internship/residency
Commercial and Industrial Designers,"Designers in this field work with products such as cars, home appliances, and children's toys. Tasks include development and design for products and research of product use, along with marketing and materials for appealing placement and product design for the public.","Arts, Design, Entertainment, Sports, and Media",28710,60760,10.5,Bachelor's degree,None,None
Commercial Pilots,"Commercial pilots fly airplanes or helicopters on nonscheduled air carrier routes. They may test aircraft, direct firefighting efforts, give air tours, monitor traffic, dust crops, spread seed for restoration, track criminals, or fly an air ambulance.",Transportation and Material Moving,31630,70000,21.2,Postsecondary non-degree award,None,None
"Communications Teachers, Postsecondary","Instructors in this field teach courses related to communications. Subjects may include organizational communication, public relations, broadcasting, or journalism. They prepare lesson plans and assignments, develop and grade examinations, and plan course curriculum.","Education, Training, and Library",29610,61330,17.4,Doctoral or professional degree,None,None
Compensation and Benefits Managers,"Managers in this field determine the compensation and benefits for employees within an organization. They are aware of legal requirements, continually keep company budget in mind while making decisions, and notify employees of changes in benefits or compensation.",Management,24580,92290,2.8,Bachelor's degree,1 to 5 years,None
"Compensation, Benefits, and Job Analysis Specialists","Compensation, benefits, and job analysis specialists evaluate job positions, determine exempt or non-exempt status, and salary. They also plan, develop, and communicate methods for compensating, evaluating, promoting, and training workers.",Business and Financial Operations,94710,57960,5,Bachelor's degree,None,None
Compliance Officers,"Compliance officers examine, evaluate, and investigate the actions of an organization or individual to ensure they are in agreement with the laws and regulations in place. They perform inspections and analyze behaviors to enforce regulation. ",Business and Financial Operations,210510,60740,15,Bachelor's degree,None,Moderate-term on-the-job training
Computer and Information Research Scientists,"Workers in this field conduct research on fundamental computer and information science as theorists, designers, or inventors. They find solutions to computer hardware and software issues, and work with management, vendors, and technicians to determine computing needs.",Computer and Mathematical Occupations,25160,101080,18.7,Doctoral or professional degree,None,None
Computer and Information Systems Managers,"Workers in this field plan or coordinate activities in areas such as electronic data processing, information systems, systems analysis, and computer programming. They develop resources to provide data security, strategic computing, and disaster recovery.",Management,300830,118010,18.1,Bachelor's degree,More than 5 years,None
"Computer Controlled Machine  Programmers, Metal and Plastic","Workers in this field develop programs for machining and processing of metal and plastic parts for automatic machine tools, equipment, and systems. Programmers also write, modify, and enter computer commands into machine controllers.",Production,20370,45890,10.8,High school diploma or equivalent,None,Moderate-term on-the-job training
Computer Hardware Engineers,"Computer hardware engineers test computers and related products for commercial, industrial, military, and scientific purposes. They also analyze and identify user needs for hardware and direct technicians or engineering designers for technical support.",Architecture and Engineering,71990,98610,9,Bachelor's degree,None,None
"Computer Occupations, All Other*","Occupations in this field include software quality assurance engineers and testers, computer systems engineers/architects, web administrators, geospatial information scientists and technologists, geographic information systems technicians, and database architects.",Computer and Mathematical Occupations,177630,79930,5.9,Bachelor's degree,None,None
Computer Programmers,"Computer programmers create, modify, and test codes for forms and scripts for computer applications to run properly. They may also work with software developers to help design or analyze software solutions, in addition to writing and developing computer programs.",Computer and Mathematical Occupations,320100,72630,12,Bachelor's degree,None,None
"Computer Science Teachers, Postsecondary","Postsecondary computer science teachers instruct computer science courses, which may involve the design and function of computers or operations and research analysis. They prepare lessons, evaluate tests and assignments, and moderate classroom discussions.","Education, Training, and Library",33510,73090,17.4,Doctoral or professional degree,None,None
Computer Support Specialists,"Computer support specialists provide technical assistance to computer users, resolving issues for clients in person, or via telephone or electronically. This includes computer technicians, information technology specialists, network support specialists, and others.",Computer and Mathematical Occupations,632490,47660,18.1,"Some college, no degree",None,Moderate-term on-the-job training
Computer Systems Analysts,Computer systems analysts work to implement and improve computer systems by studying an organization's current systems and procedures. They make recommendations to management in order to help the bring business and IT together and operate more efficiently.,Computer and Mathematical Occupations,487740,78770,22.1,Bachelor's degree,None,None
