OccupationTitle,Description,Category,TotalEmployed2011,MedianSalary2011,ProjectedGrowth2020,Education,Experience,Training
Multimedia Artists & Animators,"Multimedia artists and animators create and design works using complex graphics, cinematography, character development, and storyboards. They work using film, video, computers, and other electronic tools for media production and publishing.","Arts, Design, Entertainment, Sports, and Media",28400,60830,8.3,Bachelor's degree,None,Moderate-term on-the-job training
Music Directors and Composers,"Music directors and composers' direct music groups such as orchestras, bands, choirs, and glee clubs in vocal, conduct, or instrumental performances. They arrange auditions and rehearsals and adapt compositions for a specific group or style.","Arts, Design, Entertainment, Sports, and Media",25290,47410,10.2,Bachelor's degree,1 to 5 years,None
Natural Sciences Managers,"Natural sciences managers coordinate, direct and plan events and activities for the fields of life and physical sciences, mathematics and statistics. Similar job titles include water team leader, fisheries director, laboratory manager and natural resources planner.",Management,47510,114770,7.7,Bachelor's degree,More than 5 years,None
Network and Computer Systems Administrators*,"Working primarily at a desk in an office setting, network and computer systems administrators install, configure, and support an organization's network systems. They are responsible for the day-to-day operation of maintaining an organization’s computer networks.",Computer and Mathematical Occupations,341800,70970,27.8,Bachelor's degree,None,None
Nuclear Engineers,"Nuclear engineers direct and conduct research for nuclear engineering projects including problems associated with the release, control and use of nuclear energy and nuclear waste disposal. They also monitor equipment to ensure efficiency and safety within a plant.",Architecture and Engineering,18430,101930,10.2,Bachelor's degree,None,None
Nuclear Medicine Technologists,"Technologists in this field prepare and measure radioactive isotopes in therapeutic, diagnostic, and tracer studies using a variety of equipment. They perform studies on blood volume, red cell survival, and fat absorption according to standard laboratory techniques. ",Healthcare Practitioners and Technical Occupations,21200,69450,18.9,Associate's degree,None,None
"Nursing Instructors and Teachers, Postsecondary","In classroom or clinical settings, nursing instructors demonstrate and teach patient care to students. Topics may include pharmacology, mental health nursing, or community health care practices. They deliver lectures, evaluate class work, and maintain student records.","Education, Training, and Library",55930,63900,17.4,Doctoral or professional degree,None,None
Obstetricians and Gynecologists,"Obstetricians and gynecologists provide medical care related to pregnancy and child birth and help identify, diagnose, treat, and prevent diseases of women. They also collect and maintain patient information, such as medical histories, reports, and examination results.",Healthcare Practitioners and Technical Occupations,20540,218610,24.4,Doctoral or professional degree,None,Internship/residency
Occupational Health and Safety Specialists,"Occupational health and safety specialists' work with engineers and physicians to provide safe conditions for patients, inspect and evaluate workplace environment and equipment to ensure safety standards and government regulations are adhered to. ",Healthcare Practitioners and Technical Occupations,57950,66270,8.5,Bachelor's degree,None,Moderate-term on-the-job training
Occupational Health and Safety Technicians,"Workers in this field collect and document data of work environments for the health of employees. They test workplaces for environmental hazards and implement programs that reduce the risk of chemical, physical, and biological risks to employees.",Healthcare Practitioners and Technical Occupations,11090,46030,12.9,High school diploma or equivalent,None,Moderate-term on-the-job training
Occupational Therapists,"Occupational therapists help people with disabilities or developmental delays gain independence. They assess, plan, organize, and participate in rehabilitative programs to help build and restore vocational, homemaking, and daily living skills for people of all ages.  ",Healthcare Practitioners and Technical Occupations,103570,73820,33.5,Master's degree,None,None
Occupational Therapy Assistants,"Occupational therapy assistants help and aide occupational therapists in treating patients with injuries, illnesses, or disabilities through therapeutic use of everyday activities. They help patients find therapy activities that fit their needs and capabilities. ",Healthcare Support,29130,52040,43.3,Associate's degree,None,None
Operating Engineers/ Other Construction Equipment Operators,"Workers in this field will operate one or several types of power construction equipment including: motor graders, bulldozers, scrapers, compressors, pumps, derricks, tractors, or front-end loaders to excavate, move, and grade earth, erect structures, or pour concrete.",Construction and Extraction,335410,41510,23.5,High school diploma or equivalent,None,Moderate-term on-the-job training
Operations Research Analysts,"Analysts are expected to formulate and apply optimizing methods to acquire and interpret data that assists in decision and policy making. They gather and analyze data, establish business methods, and develop decision support software.",Computer and Mathematical Occupations,65030,71950,14.6,Bachelor's degree,None,None
Optometrists,"Optometrists perform eye exams to check patients for vision and eye diseases. They diagnose problems or impairments, prescribe corrective lenses, and provide treatment. They also provide pre- or post-operative care to patients that may need to undergo eye surgeries.",Healthcare Practitioners and Technical Occupations,27950,94690,33.1,Doctoral or professional degree,None,None
Paralegals and Legal Assistants*,"Workers in this field assist lawyers; they investigate facts, prepare legal documents, or research legal precedent. They may conduct research to support a legal proceeding, organize exhibits before trials, and call upon witnesses at court hearings.",Legal,252250,46730,18.3,Associate's degree,None,None
"Pediatricians, General","Pediatricians work primarily with children to diagnose, treat, medicate, and help prevent children's diseases and injuries. They generally work out of a physician's office to examine children regularly and assess their growth and development from infancy to adolescence.",Healthcare Practitioners and Technical Occupations,29640,158170,24.4,Doctoral or professional degree,None,Internship/residency
Personal Financial Advisors,"Many people need help with their investment, taxes, and insurance decisions. A personal financial advisors gives financial advice using their knowledge of tax and investment strategies in order to help clients make the best financial decisions for their future.",Business and Financial Operations,161790,66580,32.1,Bachelor's degree,None,None
Petroleum Engineers,"Petroleum engineers design methods to improve oil and gas extraction and production and if new or modified designs are needed. They oversee drilling, offer technical advice, and coordinate the installation, maintenance, and operation of mining and oil field equipment.",Architecture and Engineering,30880,122280,17,Bachelor's degree,None,None
"Petroleum Pump Operators, Refinery Operators, and Gaugers","Working in a refinery, operators are expected to monitor and operate petroleum refining or processing units to detect and report possible problems. They also extensively analyze data to make laboratory recommendations and set equipment controls.",Production,41570,61260,-14,High school diploma or equivalent,None,Long-term on-the-job training
Pharmacists,"Pharmacists dispense and distribute prescription medications to patients. They offer advice on the selection, dosage, interactions, side effects of medications, and the safe use of medication. They also assess the identity, strength, or purity of medications.",Healthcare Practitioners and Technical Occupations,272320,113390,25.4,Doctoral or professional degree,None,None
"Philosophy and Religion Teachers, Postsecondary","Teachers in this field educate students on philosophy, religion, and theology. Topics may include ethics, logic, or contemporary religious thought. They develop lesson plans, deliver lectures, evaluate methods of instruction, and maintain student records.","Education, Training, and Library",21930,65100,17.4,Doctoral or professional degree,None,None
"Physical Scientists, All Other","Occupations in this field include astronomers, physicists, atmospheric and space scientists, chemists and materials scientists, and environmental scientists and geoscientists.","Life, Physical, and Social Science",25790,94990,8.5,Bachelor's degree,None,None
Physical Therapist Assistants,"Physical therapist assistants work under the direction of physical therapists. They assist, provide treatment, and help to develop programs that best help the patient gain back the physical abilities that may have been lost due to injury or illness. ",Healthcare Support,67550,51040,45.7,Associate's degree,None,None
Physical Therapists,"Physical therapists help people recover from injuries or illnesses in order to improve their movement and manage their pain. They assess, plan, and participate in rehabilitative programs involving exercise routines to correct or improve disabling conditions.",Healthcare Practitioners and Technical Occupations,185440,78270,39,Doctoral or professional degree,None,None
Physician Assistants,"Working in a healthcare facility, physician assistants perform many of the same tasks typically performed by a physician. They assist physicians and conduct complete physicals, provide treatment, console patients, and occasionally even prescribe medication.",Healthcare Practitioners and Technical Occupations,83540,88660,29.5,Master's degree,None,None
"Physicians and Surgeons, All Other","Physicians and surgeons diagnose and treat injuries and illnesses of patients in a wide variety of ways. Whether by preventative measures or invasive operations, physicians and surgeons help prevent and cure diseases and injuries that occur in the general population. ",Healthcare Practitioners and Technical Occupations,305590,184650,24.4,Doctoral or professional degree,None,Internship/residency
Physicists,"Physicists analyze data from conducted research to identify and evaluate physical phenomena. They often write for scientific journals or speak at conferences to report experimental results, and are expected to develop theories and laws based on their findings.","Life, Physical, and Social Science",16220,106360,14.2,Doctoral or professional degree,None,None
"Physics Teachers, Postsecondary","Physics instructors teach classes related to the laws of matter and energy. Courses may include quantum mechanics, particle physics, and optics. They conduct research, prepare and deliver lectures, maintain student records, and evaluate class work and exams.","Education, Training, and Library",13630,77540,17.4,Doctoral or professional degree,None,None
"Plant and System Operators, All Other","Occupations in this field include various ""green"" careers with a very bright career outlook, including biofuels processing technicians, methane/landfill gas generation system technicians, biomass plant technicians, and hydroelectric plant technicians.",Production,11740,53200,-0.1,High school diploma or equivalent,None,Long-term on-the-job training
"Plumbers, Pipefitters, and Steamfitters","Plumbers, pipefitters, and steamfitters assemble, install, and repair pipelines and pipe systems that carry a variety of liquids and gasses. Some travel to areas such as factories, homes, businesses, and just about anywhere else there are pipes or septic systems.   ",Construction and Extraction,349320,47750,25.6,High school diploma or equivalent,None,Apprenticeship
Police and Detective Supervisors,"Supervisors in this field direct activities within a police force. They supervise the investigation of criminal cases, train officers, detectives, and other workers in police procedures, and ensure those procedures are conducted in accordance with laws and regulations.",Protective Service,102040,77890,2.1,High school diploma or equivalent,1 to 5 years,Moderate-term on-the-job training
Police and Sheriff's Patrol Officers,"Workers in this field work to protect and maintain safety in their respective communities by enforcing local, tribal, State, and Federal laws and ordinances. They also perform duties such as patrolling, direct traffic, investigate criminal actions, and arrest suspects.",Protective Service,636410,54230,8.2,High school diploma or equivalent,None,Moderate-term on-the-job training
"Political Science Teachers, Postsecondary","Instructors in this field of study teach courses in political science, international affairs, and international relations. Teachers prepare lesson plans, evaluate student class work, facilitate educational discussions, and maintain student records.","Education, Training, and Library",17260,71470,17.4,Doctoral or professional degree,None,None
Postal Service Clerks,"Postal service clerks weigh mail, sell stamps and envelopes, process change of address forms, and sort mail by hand or electronically. They must be knowledgeable of Postal Service federal regulations and other federal agencies.",Office and Administrative Support,65040,53100,-48.2,High school diploma or equivalent,None,Short-term on-the-job training
Postal Service Mail Carriers,"Mail carriers sort, deliver, and pick-up mail (either by vehicle or on-foot) on a specific route. They also obtain signatures on mail, record address changes to redirect mail, and leave notices to inform people where to collect undeliverable mail.",Office and Administrative Support,315330,55160,-12,High school diploma or equivalent,None,Short-term on-the-job training
"Postal Service Sorters, Processors, and  Machine Operators","Working in a busy mailroom, workers sort, prepare, and route incoming and outgoing mail for delivery. They also maintain records of shipments, operate and occasionally repair various mailroom machinery, and check package condition and postage paid prior to processing.",Office and Administrative Support,139700,53080,-48.5,High school diploma or equivalent,None,Short-term on-the-job training
Postmasters and Mail Superintendents,"Postmasters and mail superintendents hire and train new employees, supervise areas such as processing, and resolve customer complaints. They also write detailed reports of post office operations to supervisors within one or a number of postal facilities.",Management,24410,62920,-27.8,High school diploma or equivalent,1 to 5 years,Moderate-term on-the-job training
"Postsecondary Teachers, All Other","This field refers to the small percentage of postsecondary teachers who don't fit into one of the specialty teaching areas. These teachers prepare lesson plans, grade tests and assignments, and maintain student records.","Education, Training, and Library",182130,64310,17.4,Doctoral or professional degree,None,None
Power Distributors and Dispatchers,"Working in a power plant, workers must be able to respond to emergencies such as power outages or transformer line failures. They also operate equipment that distributes electricity or steam and monitor switchboards to ensure that the equipment is operating properly.",Production,11600,70700,-3,High school diploma or equivalent,None,Long-term on-the-job training
Power Plant Operators,"Operators in a power plant primarily work with equipment; they adjust controls, maintain generators, clean and oil machines to prevent failure, and work with systems operators to regulate line voltages and transmission loads and frequencies.",Production,39980,65280,-2.5,High school diploma or equivalent,None,Long-term on-the-job training
"Precision Instrument and Equipment Repairers, All Other",This field refers to the small percentage of precision instrument and equipment repairers whose job duties aren't listed separately.,"Installation, Maintenance, and Repair",12230,51730,9.3,Associate's degree,None,Long-term on-the-job training
Private Detectives and Investigators,"Workers in this field obtain and analyze information on suspects, crimes, or disturbances to solve cases, identify criminal activity, or gather information for court cases. They also perform background investigations, pre-employment checks, or financial investigations.",Protective Service,26080,43710,20.5,"Some college, no degree",1 to 5 years,Moderate-term on-the-job training
Probation Officers & Correctional Treatment Specialists,"Workers in this field provide social services to help rehabilitate law offenders in custody, or on probation or parole. They help develop a rehabilitation plan or treatment for an offender, which may include conditional release and education or employment stipulations.",Community and Social Service,88520,47840,18.4,Bachelor's degree,None,Short-term on-the-job training
Producers and Directors,"Producers and directors work in stage, television, radio, motion pictures, and video. They lead in the creation of script, development of characters and actors, collaborate with set designers, work with sound engineers, and discuss their vision with cinematographers.","Arts, Design, Entertainment, Sports, and Media",82880,70660,11,Bachelor's degree,1 to 5 years,None
"Production, Planning, and Expediting Clerks","Workers in this field establish production schedules to coordinate and expedite work and materials for departments. They also distribute and review production and shipment schedules, work progress, and determine costs or production problems.",Office and Administrative Support,272910,43100,6.6,High school diploma or equivalent,None,Moderate-term on-the-job training
"Property, Real Estate, and Community  Managers","Workers in real estate coordinate and direct buying, leasing, and selling of commercial, industrial, and residential properties. They meet with prospective tenants to provide information on properties, inspect grounds, and prepare and maintain records of sale.",Management,152380,52510,6,High school diploma or equivalent,1 to 5 years,None
Psychiatrists,"Psychiatrists diagnose, treat, and help prevent disorders that affect a person's thinking. They also prescribe, direct, and administer psychotherapeutic treatments or medications to treat mental, emotional, or behavioral disorders. ",Healthcare Practitioners and Technical Occupations,23140,170350,24.4,Doctoral or professional degree,None,Internship/residency
"Psychologists, All Other","Psychologists in this field may do work related to cognitive psychology and psycholinguistics, community psychology, comparative psychology, developmental and child psychology, educational psychology, or environmental psychology.","Life, Physical, and Social Science",10580,90010,18.2,Master's degree,None,Internship/residency
"Psychology Teachers, Postsecondary","Psychology instructors educate students in topics relating to psychology, such as psychological counseling or child, clinical, and developmental psychology. They select course materials, prepare lessons, and evaluate student class work.","Education, Training, and Library",37540,68150,17.4,Doctoral or professional degree,None,None
Public Relations and Fundraising Managers,Workers in this field coordinate activities aimed at creating or maintaining a favorable public image or raising issue awareness for their client or organization. They may also plan events to solicit funds for special projects or nonprofit organizations. ,Management,53200,93310,16.4,Bachelor's degree,1 to 5 years,None
Public Relations Specialists,"Public relations specialists work on maintaining a favorable public image for their employer or client. They write, plan, select, and direct public relations material for release to various media outlets. They also help to raise funds for their organization.","Arts, Design, Entertainment, Sports, and Media",212510,53190,22.5,Bachelor's degree,None,Moderate-term on-the-job training
"Pump Operators, Except Wellhead Pumpers","Pump operators monitor gauges for temperatures, chemical amounts, the transfer of gases or oils, and pressure--and fix or report any errors. They control valves to regulate flow of materials and tend vessels that store substances or materials.",Transportation and Material Moving,12150,43870,3.7,Less than high school,None,Moderate-term on-the-job training
"Purchasing Agents, Except Wholesale/Retail & Farm Products","Workers in this field research and evaluate suppliers, prepare purchase orders and bid proposals, and review orders. In addition, they manage inventory, discuss defective or unacceptable goods with staff, users, and vendors, and determine future appropriate action.",Business and Financial Operations,274540,57580,5.3,High school diploma or equivalent,None,Long-term on-the-job training
Purchasing Managers,"Purchasing managers coordinate and plan for buyers, purchasing officers, and all other workers in the field of purchasing materials, products, and services for wholesale or retail markets. They also lead in the interviewing and hiring of new staff, and oversee training.",Management,66990,97130,7.2,Bachelor's degree,More than 5 years,None
Radiation Therapists,"Radiation therapists provide radiation therapy to patients as prescribed by a radiologist, according to established standards. They may review prescription and diagnosis, prepare equipment, assist in dosimetry procedures, or maintain records and files. ",Healthcare Practitioners and Technical Occupations,18380,76630,20.3,Associate's degree,None,None
"Radio, Cellular, and Tower Equipment Installers ","Workers in this industry repair, install, and maintain a variety of transmitting, broadcasting, and receiving equipment. Workers visit many different sites and may even climb tall towers in order to access the different equipment that needs to be maintained.","Installation, Maintenance, and Repair",12920,42160,29.4,Associate's degree,None,Moderate-term on-the-job training
Radiologic Technologists and Technicians*,"Radiologic technologists and technicians perform diagnostic imaging examinations such as x-rays, CT scans, and MRIs on patients. The use radiation safety measures and protection devices to comply with government regulations and to ensure safety of patients and staff.",Healthcare Practitioners and Technical Occupations,220540,55120,27.8,Associate's degree,None,None
Rail Car Repairers,"Rail car repairers diagnose and repair railroad rolling stock, mine cars, or mass transit rail cars. They test units for proper execution, perform scheduled maintenance on units, and inspect components to determine if repairs are needed.","Installation, Maintenance, and Repair",19480,47740,16.9,High school diploma or equivalent,None,Long-term on-the-job training
"Railroad Brake, Signal, and Switch Operators","An integral role in keeping trains working properly and on the right track, railroad operators operate switches to move trains successfully, signal engineers to start or stop trains, inspect tracks, cars, and engines, and assemble and break up cars on the train.",Transportation and Material Moving,23830,50430,-4.2,High school diploma or equivalent,None,Moderate-term on-the-job training
Railroad Conductors and Yardmasters,"Railroad conductors signal engineers to start and stop trains, direct yard activities of switch-engine crew, and the moving and coupling of cars. Similarly, yardmasters review train schedules and direct yard switching and the coupling/uncoupling of cars.",Transportation and Material Moving,44280,53880,4.7,High school diploma or equivalent,None,Moderate-term on-the-job training
Rail-Track Laying and Maintenance Equipment Operators,"These operators lay, repair, and maintain track for transportation locomotive services as well as plant yards, quarries, sand and gravel pits, and mines. They supervise certain sections at a time, repair and maintain tracks (clean and lubricate) and adjust controls.",Construction and Extraction,15590,45000,1.9,High school diploma or equivalent,None,Moderate-term on-the-job training
Real Estate Brokers,"Real estate brokers typically sell or rent properties and arrange loans for prospective buyers. They also operate real estate offices, oversee real estate transactions, and maintain knowledge of fair housing laws and finance options.",Merr,38200,59340,7.6,High school diploma or equivalent,1 to 5 years,None
"Recreation and Fitness Studies Teachers, Postsecondary","Instructors in this field teach classes in recreation, leisure, and fitness studies. Specific topics may include anatomy, therapeutic recreation, or conditioning theory. They develop curriculum, facilitate discussions, and evaluate student assignments and fieldwork.","Education, Training, and Library",18660,57840,17.4,Doctoral or professional degree,None,None
Recreational Therapists,"Recreational therapists coordinate medically-approved recreation programs for patients in hospitals, nursing homes, or other institutions. They evaluate patients and advise appropriate activities, such as sports, arts and crafts, games, and other social activities.",Healthcare Practitioners and Technical Occupations,19650,41060,17.1,Bachelor's degree,None,None
Registered Nurses*,"Registered nurses (RNs) provide and coordinate basic patient medical care, educate public about various health conditions, advise about disease prevention, provide case management, advice, and emotional support for patients. Licensing and registration are required. ",Healthcare Practitioners and Technical Occupations,2724570,65950,26,Associate's degree,None,None
Respiratory Therapists,"Respiratory therapists work with patients who have trouble breathing, have chronic respiratory diseases, or have problems such as asthma or emphysema. They sometimes also provide emergency care such as artificial respiration, or external cardiac massage.",Healthcare Practitioners and Technical Occupations,113980,55250,27.7,Associate's degree,None,None
Respiratory Therapy Technicians,"Under the direction of therapists and physicians, the technician monitors patients during treatment. They collect and analyze blood samples, assess patients' response to treatments, keep  records of treatment, and set controls for various oxygen equipment.",Healthcare Practitioners and Technical Occupations,13940,46350,4.1,Associate's degree,None,Moderate-term on-the-job training
Riggers,"Riggers set up and repair equipment for construction, manufacturing, ships, logging yards and even the entertainment industry. Riggers also direct workers for moving loads, ensure the safety of workers and materials, and control movement of heavy equipment.","Installation, Maintenance, and Repair",13750,43020,10.6,High school diploma or equivalent,None,Short-term on-the-job training
Rotary Drill Operators for Oil and Gas,"Workers in this field operate and set up different types of drills to remove gas and oil from the ground. They also remove samples of gas and oil for tests and exploration, while maintaining records of location and footage drilled.",Construction and Extraction,21650,51310,7.2,Less than high school,None,Moderate-term on-the-job training
Sales Engineers,"Sales engineers sell products requiring extensive technical knowledge and support for installation and use. They provide technical and non-technical support to clients and diagnose equipment problems, while planning and modifying product configurations to meet needs.",Merr,65580,89330,14.4,Bachelor's degree,None,Moderate-term on-the-job training
Sales Managers,"Sales managers help coordinate sales distribution for territories, quotas, and goals to establish training programs for employees. They are also expected to determine price schedules and discounts, approve and prepare budgets, and oversee staffing and training.",Management,328230,101640,11.7,Bachelor's degree,1 to 5 years,None
"Sales Rep., Wholesale Manufacturing, Except Technical Product","Workers in this field sell goods for manufacturers or wholesalers to businesses or individuals. They recommend products to customers, provide catalogs or product samples, estimate or quote prices and delivery dates, and follow up with them to provide continued support.",Merr,1390480,53540,15.6,High school diploma or equivalent,None,Moderate-term on-the-job training
"Sales Rep., Wholesale/ Manufacturing, Technical Products","Sales representatives in this field sell goods for wholesalers or manufacturers of products that require technical or scientific knowledge. These areas include biology, engineering, chemistry, and electronics.",Merr,375500,74750,16.4,Bachelor's degree,None,Moderate-term on-the-job training
"Sales Representatives, Services, All Other",This field refers to the small percentage of occupations that do not fall into the other sales representative and service categories.,Merr,596480,50630,18.8,High school diploma or equivalent,None,Short-term on-the-job training
"Secondary School Teachers, Except Special & Technical Ed.","Teachers in this field typically teach students one or more subjects; English, math, or social studies at a secondary level in the private or public schools. They prepare and grade classwork and homework, enforce policies and rules, and maintain student records.","Education, Training, and Library",1004850,54270,6.9,Bachelor's degree,None,Internship/residency
"Securities, Commodities, and Financial Services Sales Agents","Workers in this field provide financial services to businesses and individuals. They also advise customers about stocks, bonds, mutual funds, and market conditions or buying and selling securities or commodities in investment and trading firms.",Merr,307020,72060,15.2,Bachelor's degree,None,Moderate-term on-the-job training
"Service Unit Operators, Oil, Gas, and Mining","Workers in this field typically work and operate machinery and equipment to increase oil flow from producing wells that have stuck pipes, casings, or other obstructions. They operate pumps that circulate fluids, close and seal wells, and direct drilling crews.",Construction and Extraction,46880,40750,8.6,Less than high school,None,Moderate-term on-the-job training
Sheet Metal Workers,"Sheet metal workers assemble, install, and repair sheet metal products and equipment. They may operate welding equipment, shape metal using a hammer, transport parts to construction sites, or prepare completed units for installation.",Construction and Extraction,130670,42730,17.5,High school diploma or equivalent,None,Apprenticeship
Ship Engineers,"Ship engineers manage activities of crew who operate and maintain engines, boilers, deck machinery, and electrical equipment aboard the ship. They maintain safety equipment, evaluate and repair equipment as needed, and follow other direction from the captain.",Transportation and Material Moving,10010,70840,18,Bachelor's degree,None,None
Social and Community Service Managers,Social and community service managers direct and lead staff for social services programs and community organizations. They evaluate the work of staff and volunteers to ensure that programs are of appropriate quality and that resources are used efficiently,Management,115550,58660,26.7,Bachelor's degree,1 to 5 years,None
"Social Scientists and Related Workers, All Other","Occupations in this field include anthropologists, archaeologists, geographers, historians, political scientists, economists, sociologists, and urban and regional planners.","Life, Physical, and Social Science",31520,75160,8.1,Bachelor's degree,None,None
"Social Workers, All Other","Social workers identify those who need help and assist them in developing plans to improve their well-being. They help clients adjust to challenges such as illness, divorce, or unemployment. They also help clients obtain resources such as food stamps or Medicare.",Community and Social Service,63110,53900,16.2,Bachelor's degree,None,None
"Sociology Teachers, Postsecondary","Instructors in this field educate students about sociology. Topics may include race and ethnic relations, measurement and data collection, and workplace social relations. Teachers develop lesson plans, moderate classroom discussions, and evaluate student course work.","Education, Training, and Library",17250,66250,17.4,Doctoral or professional degree,None,None
"Software Developers, Applications","Working with the latest technology software, developers develop, create, and modify general computer applications, software, or specialized utility programs. They design or customize software for client use with the aim of optimizing operational efficiency.",Computer and Mathematical Occupations,539880,89280,27.6,Bachelor's degree,None,None
"Software Developers, Systems Software",Software developers are the creative minds behind computer programs. They develop many different applications and underlying systems control networks. They also modify existing software to correct errors and adapt new hardware to improve performance.,Computer and Mathematical Occupations,387050,96600,32.4,Bachelor's degree,None,None
Soil and Plant Scientists,"Soil and plant scientists research crops and agricultural plants—such as trees and shrubs—along with how to control pests. They also study chemicals regarding physical, biological, and mineralogical compositions of soils for healthy plant and crop growth.","Life, Physical, and Social Science",11860,58940,12.1,Bachelor's degree,None,None
Sound Engineering Technicians,"Sound technicians use equipment to record, mix, or produce music, voices, or sound effects in various venues including sporting arenas, theater products, recording studios, movie and sound productions, and any other venue where media might be recorded.","Arts, Design, Entertainment, Sports, and Media",14930,46750,0.6,Postsecondary non-degree award,None,Short-term on-the-job training
"Special Education Teachers, Middle School",Teachers in this field instruct middle school subjects to educationally and physically handicapped students;  including those who teach basic academic and life skills to the mentally impaired and those who work with audibly and visually impaired students.,"Education, Training, and Library",100590,55000,20.2,Bachelor's degree,None,Internship/residency
"Special Education Teachers, Preschool & Elementary School*","In a classroom setting, special education teachers teach elementary and preschool subjects to students who have a wide range of learning, mental, emotional and physical disabilities. They develop and modify strategies and lessons to best fit each students needs.","Education, Training, and Library",220220,53440,21.3,Bachelor's degree,None,Internship/residency
"Special Education Teachers, Secondary School","Special education teachers teach secondary school subjects to mentally and physically handicapped students. They also work with students who are impaired audibly and visually. They may teach traditional courses, but also various personal developmental skills.","Education, Training, and Library",132960,55990,7.3,Bachelor's degree,None,Internship/residency
Speech-Language Pathologists,"Speech-language pathologists work with people that have speech, language, voice, communication, fluency, and swallowing disorders in order to diagnose and treat them. They work in schools and healthcare facilities and monitor patients' progress during treatment.",Healthcare Practitioners and Technical Occupations,117210,69100,23.4,Master's degree,None,None
Stationary Engineers and Boiler Operators,"Stationary engineers and boiler operators typically maintain and operate boilers, generators, motors, stationary engines, turbines, or other mechanical equipment to provide energy for industrial buildings.",Production,34580,53070,6.2,High school diploma or equivalent,None,Long-term on-the-job training
Statisticians,"Statisticians adapt analytical methods to solve problems in many different fields. They analyze and evaluate procedures to acquire valid, applicable, and accurate data. They must then report results, often in the form of graphs, charts, or tables. ",Computer and Mathematical Occupations,23770,73880,14.1,Master's degree,None,None
Structural Iron and Steel Workers,"Structural iron and steel workers install, raise, place, and unite iron and steel girders, beams and columns. They work to form completed structures, bridges, buildings, or structural frameworks by following blueprints and instructions from supervisors.",Construction and Extraction,56920,45690,21.9,High school diploma or equivalent,None,Apprenticeship
"Supervisors of Farming, Fishing, and Forestry Workers","Occupations in this field include first-line supervisors of logging workers, aquacultural workers, agricultural crop and horticultural workers, and animal husbandry and animal care workers.","Farming, Fishing, and Forestry",18920,42600,-1.5,High school diploma or equivalent,1 to 5 years,None
Supervisors of Fire Fighting and Prevention Workers,First-line supervisors of fire fighting and prevention workers supervise workers in the fire fighting and prevention fields as well as coordinate activities. Occupations also include municipal and forest fire fighting and prevention supervisors.,Protective Service,58210,69510,8.2,Postsecondary non-degree award,1 to 5 years,None
"Supervisors of Helpers, Laborers, and Material Movers","First-line supervisors directly supervise and coordinate the efforts and activities of helpers, laborers, and material movers. They manage operational day-to-day activities, plan work schedules, and assign duties to maintain adequate staff for effective performance.",Transportation and Material Moving,166560,44580,27.2,High school diploma or equivalent,1 to 5 years,None
"Supervisors of Mechanics, Installers, and Repairers","First-line supervisors of mechanics, installers, and repairers supervise and monitor employees work and review work performance. They compile operational or personnel records or test results, and monitor inventory for tools and parts for adequate work conditions. ","Installation, Maintenance, and Repair",418530,59850,11.9,High school diploma or equivalent,1 to 5 years,None
Supervisors of Office and Administrative Support Workers,"Supervisors in this field oversee the work of administrative or customer service employees to ensure they are abiding by company policies. They train employees in job duties and provide instruction when needed. They also recruit, interview, and select new employees.",Office and Administrative Support,1364720,48810,14.3,High school diploma or equivalent,1 to 5 years,None
"Supervisors of Protective Service Workers, All Other",This field refers to the small percentage of first line supervisors of protective service workers whose job duties aren't listed separately. This may include supervisors in law enforcement and fire fighting and prevention.,Protective Service,55910,46420,9.9,High school diploma or equivalent,1 to 5 years,None
Supervisors of Transportation/ Machine & Vehicle Operators,"Supervisors in this field plan assignments and allocate equipment to vehicle operators to meet production goals. They review orders, schedules, and shipping notices to determine work sequences while maintaining records of time, materials, and crew activities. ",Transportation and Material Moving,198690,52950,14.3,High school diploma or equivalent,1 to 5 years,None
Surgeons,"Surgeons use a variety of different surgical methods to operate on patients in order to treat disease, injuries and deformities. They usually work in sterile environments while performing surgery and may stand for long periods of time.",Healthcare Practitioners and Technical Occupations,42340,231550,24.4,Doctoral or professional degree,None,Internship/residency
Surgical Technologists,"Surgical technicians assist in operations under the supervision of surgeons, registered nurses, or other surgical staff. They help prepare the operating room, transport patients to surgery, adjust lights or equipment, and hand tools or other supplies to the surgeons.",Healthcare Practitioners and Technical Occupations,94490,40950,18.9,Postsecondary non-degree award,None,None
Survey Researchers,"Survey researchers plan, support, develop, coordinate, and conduct operations for surveys. They also analyze and interpret the meaning of survey data, determine survey objectives, suggest or test question wording, review, classify, and record survey data. ","Life, Physical, and Social Science",17060,40150,24.1,Bachelor's degree,None,None
Surveyors,"Surveyors establish official boundaries for land, airspace, and water. They make exact measurements, calculations, and verify accuracy of survey data at survey sites. They examine shape, contour, gravitation, location, elevation, and dimension of land or land features.",Architecture and Engineering,42020,55590,25.4,Bachelor's degree,None,None
Tapers,Tapers seal joints between plasterboard or other wallboard to prepare the wall's surface for painting or papering. They remove the extra compound after surfaces have been covered sufficiently and spread sealing compound between boards or panels and cracks.,Construction and Extraction,15340,44910,34.7,Less than high school,None,Moderate-term on-the-job training
